============================================================
  GPU 2 接力实验启动
  开始时间: Tue Jun  9 08:42:50 PM UTC 2026
============================================================

==============================
  [1/2] NA_v2 (soft_mask, bs=12)
==============================

Namespace(base_lr=0.01, batch_size=12, cmc_init_shared=0.4, cmc_loss_weight=1.0, cmc_mutual_conf_thresh=0.75, cmc_mutual_weight=0.5, cmc_patch_size=8, cmc_soft_sigma=0.5, cmc_warmup_iter=5000, conf_thresh_final=0.7, conf_thresh_init=0.9, consistency=0.1, consistency_rampup=200.0, deterministic=1, exp='BCP_CMC_NA_v2_bs12', gpu='2', labeled_bs=6, labelnum=7, magnitude=6.0, max_iterations=30000, model='unet', num_classes=4, patch_size=[256, 256], pre_iterations=10000, root_path='../data_split/ACDC', s_param=6, seed=1337, u_weight=0.5)
total 1312 samples
total 20 samples
Total slices is: 1312, labeled slices is:136
Start pre_training
22 iterations per epoch
  0%|                                         | 0/455 [00:00<?, ?it/s]iteration 1: loss: 2.386269
  4%|█▍                              | 20/455 [00:56<29:11,  4.03s/it]iteration 441: loss: 0.700668
iteration 442: loss: 0.774786
iteration 443: loss: 0.797306
iteration 444: loss: 0.737921
iteration 445: loss: 0.815550
iteration 446: loss: 0.561925
iteration 447: loss: 0.612828
iteration 448: loss: 0.635383
iteration 449: loss: 0.633192
iteration 450: loss: 0.593098
iteration 451: loss: 0.587722
iteration 452: loss: 0.591151
iteration 453: loss: 0.705395
iteration 454: loss: 0.732793
iteration 455: loss: 0.670884
iteration 456: loss: 0.742096
iteration 457: loss: 0.698470
iteration 458: loss: 0.650348
iteration 459: loss: 0.654179
iteration 460: loss: 0.707836
iteration 461: loss: 0.582521
iteration 462: loss: 0.559178
  5%|█▍                              | 21/455 [00:57<24:29,  3.39s/it]iteration 463: loss: 0.742023
iteration 464: loss: 0.679525
iteration 465: loss: 0.765671
iteration 466: loss: 0.668572
iteration 467: loss: 0.697596
iteration 468: loss: 0.595990
iteration 469: loss: 0.695987
iteration 470: loss: 0.706823
iteration 471: loss: 0.662339
iteration 472: loss: 0.710919
iteration 473: loss: 0.795712
iteration 474: loss: 0.615525
iteration 475: loss: 0.822653
iteration 476: loss: 0.564169
iteration 477: loss: 0.628436
iteration 478: loss: 0.604735
iteration 479: loss: 0.686464
iteration 480: loss: 0.658820
iteration 481: loss: 0.770053
iteration 482: loss: 0.641128
iteration 483: loss: 0.736427
iteration 484: loss: 0.507774
  5%|█▌                              | 22/455 [00:59<20:16,  2.81s/it]iteration 485: loss: 0.595286
iteration 486: loss: 0.651161
iteration 487: loss: 0.640155
iteration 488: loss: 0.701636
iteration 489: loss: 0.637241
iteration 490: loss: 0.675034
iteration 491: loss: 0.612217
iteration 492: loss: 0.540389
iteration 493: loss: 0.599431
iteration 494: loss: 0.642951
iteration 495: loss: 0.784814
iteration 496: loss: 0.681708
iteration 497: loss: 0.650933
iteration 498: loss: 0.574729
iteration 499: loss: 0.604476
iteration 500: loss: 0.555018
iteration 501: loss: 0.658299
iteration 502: loss: 0.526226
iteration 503: loss: 0.574004
iteration 504: loss: 0.566375
iteration 505: loss: 0.585297
iteration 506: loss: 0.744084
  5%|█▌                              | 23/455 [01:01<18:21,  2.55s/it]iteration 507: loss: 0.584065
iteration 508: loss: 0.561217
iteration 509: loss: 0.565564
iteration 510: loss: 0.642493
iteration 511: loss: 0.609987
iteration 512: loss: 0.759003
iteration 513: loss: 0.665240
iteration 514: loss: 0.561414
iteration 515: loss: 0.631107
iteration 516: loss: 0.705558
iteration 517: loss: 0.629368
iteration 518: loss: 0.543200
iteration 519: loss: 0.643820
iteration 520: loss: 0.699386
iteration 521: loss: 0.522546
iteration 522: loss: 0.587377
iteration 523: loss: 0.632345
iteration 524: loss: 0.702474
iteration 525: loss: 0.741297
iteration 526: loss: 0.748016
iteration 527: loss: 0.758539
iteration 528: loss: 0.612369
  5%|█▋                              | 24/455 [01:03<16:38,  2.32s/it]iteration 529: loss: 0.791692
iteration 530: loss: 0.601500
iteration 531: loss: 0.645454
iteration 532: loss: 0.729277
iteration 533: loss: 0.697137
iteration 534: loss: 0.664862
iteration 535: loss: 0.659932
iteration 536: loss: 0.650934
iteration 537: loss: 0.678915
iteration 538: loss: 0.725213
iteration 539: loss: 0.647533
iteration 540: loss: 0.613613
iteration 541: loss: 0.588168
iteration 542: loss: 0.601058
iteration 543: loss: 0.629185
iteration 544: loss: 0.820439
iteration 545: loss: 0.549243
iteration 546: loss: 0.879143
iteration 547: loss: 0.651791
iteration 548: loss: 0.639013
iteration 549: loss: 0.569161
iteration 550: loss: 0.516145
  5%|█▊                              | 25/455 [01:04<15:23,  2.15s/it]iteration 551: loss: 0.593868
iteration 552: loss: 0.570403
iteration 553: loss: 0.674547
iteration 554: loss: 0.561950
iteration 555: loss: 0.616645
iteration 556: loss: 0.571391
iteration 557: loss: 0.634034
iteration 558: loss: 0.607034
iteration 559: loss: 0.529650
iteration 560: loss: 0.580680
